id,message,Total_comments,Total_reactions,Total_like,Total_love,Total_haha,Total_wow,Total_sad,Total_angry,Total_likes
58,Stuff is expanding into television with a new show called Stuff on eNCA. The weekly technology and gadget variety show premieres on Friday 16 April at 21:30.  https://stuff.co.za/2021/04/16/stuff-on-enca-new-show/,0,14,11,3,0,0,0,0,11
59,"Earlier this month, we shared cheat sheets on Calculus and Linear Algebra. Today we will share one on Statistics, one of the key disciplines of Data Science.  You can download the entire 10-page cheat sheet from our LinkedIn page. Follow this link: https://www.linkedin.com/feed/update/urn:li:activity:6788756557552201728  #statistics #datascience #learning",1,15,14,1,0,0,0,0,14
60,Tasks that are seemingly easy for humans to complete can actually be very difficult for machines to achieve. Read this interesting article that gives insight into how (un)intelligent our current AI algorithms are.  https://www.wired.com/story/its-called-artificial-intelligence-but-what-is-intelligence/  #artificialintelligence #datascience,0,10,8,2,0,0,0,0,8
61,"The news continues to spread.  “Amazon partnered with prominent institution, Explore Data Science Academy, to offer a one-year training learnership course.”  https://www.jacarandafm.com/lifestyle/family/amazons-amazing-learnership-course-south-africans/",1,20,19,1,0,0,0,0,19
62,"Our founder and CEO, Shaun Dippnall, shared the following opinion on digital education:  ""Digital education is relatively new and we are still learning the best way to deliver it. For example, simply moving a lecture from a physical space to a virtual one is not the best way to leverage the opportunity and possibility that a digital space provides. We need to clearly define the pedagogy for learning in a digital space and use that to ensure we develop the most effective learning possible for students.""  Read more on the progression of digital education in this article:  https://www.engineeringnews.co.za/article/pandemic-accelerated-digital-education-but-some-way-to-go-to-make-tool-truly-effective-2021-04-09/rep_id:4136  #datascience #education #digitalskills",0,17,14,3,0,0,0,0,14
63,"Earlier this week, we shared exciting news about our partnership with Amazon Web Services (AWS). Now you can hear some of our previous students' experiences and how our training program has changed their lives.  https://www.youtube.com/watch?v=pkuLjel62os",0,26,21,5,0,0,0,0,21
64,Exploratory Data Analysis can be cross-classified in two ways. Look at this visual to note the four types of EDA we can perform on our data. Non-Graphical EDA relates to summary statistics and Graphical EDA to visualisations. Univariate refers to one variable at a time and Multivariate to two or more variables.  #datascience #dataanalytics #exploratorydataanalysis,0,9,8,1,0,0,0,0,8
65,"Exploratory Data Analysis (EDA) is of vital importance to any Data Scientist. It helps us understand patterns in our data, pinpoint any outliers and indicate relations between variables.   Have a look at this article and EDA Cheat Sheet (from www.visual-design.net) for further reference.  https://towardsdatascience.com/semi-automated-exploratory-data-analysis-eda-in-python-7f96042c9809  #datascience #ExploratoryDataAnalysis",0,14,11,3,0,0,0,0,11
66,EXPLORE continues to work with AWS with students emerging into the world of work with great cloud computing skills  https://businesstech.co.za/news/cloud-hosting/480453/amazon-web-services-now-offers-an-intensive-one-year-training-course-in-south-africa-heres-how-to-apply/,1,34,28,6,0,0,0,0,28
67,"The next cheat sheet covers Linear Algebra Basics. Have fun revising these important concepts.  Remember to go to our LinkedIn page for the full downloadable version: https://www.linkedin.com/feed/update/urn:li:activity:6783642854288838656  Cheat Sheet designed by Laurent Lessard, University of Wisconsin–Madison  #linearalgebra #datasciencebasics #datascience",0,8,7,1,0,0,0,0,7
68,Want to hear what previous Explore Data Science Academy graduates have to say about their experience?  https://www.youtube.com/watch?v=HM35v8zCdwg  #datascience #datasciencecareers,0,13,11,2,0,0,0,0,11
69,"Cloud giant AWS has teamed up with Explore Data Science Academy to lead this charge through investing in education, training, and certification programs for young South African data scientists, to upskill future data scientists with the skills of the future.  Read more about it here:  https://fullview.co.za/tech/item/9148-aspiring-data-scientist-dreams-come-true-thanks-to-aws-tech",0,16,13,3,0,0,0,0,13
70,"Calculus, Statistics and Linear Algebra are integral to Data Science. This week, we will share a few cheat sheets on these topics on our LinkedIn page.   The first one is on Calculus, and one to be shared!  Pop over there to access these downloadable pdf cheat sheets.  https://www.linkedin.com/feed/update/urn:li:activity:6782639790006259712  #datascience #mathematics #statistics #linearalgebra",0,14,12,2,0,0,0,0,12
