Title,Published_date,Views,Likes,Comments,Name
Data Science Dojo Alumni - Bruno Varela,2017-11-23,359,7,1,Data Science Dojo
Data Science Dojo Alumni - Sherry Soong,2017-11-21,176,1,0,Data Science Dojo
Digital Marketing Case Study | Patrick Butler | 2060 Digital,2017-11-20,1903,16,0,Data Science Dojo
Data Science Dojo Alumni - Tonna Agim,2017-11-16,247,5,0,Data Science Dojo
Data Science Dojo Alumni - Shyam Srikumar,2017-11-14,246,2,0,Data Science Dojo
Data Science Dojo Alumni - Deep Patel,2017-11-14,131,0,0,Data Science Dojo
Feature Engineering for Web Bot Detection,2017-10-26,4305,57,5,Data Science Dojo
Data Science Dojo Alumni - Marco Viets,2017-10-19,289,1,0,Data Science Dojo
Online Experimentation and AB Testing,2017-10-14,2674,35,4,Data Science Dojo
Building Robust Machine Learning Models,2017-10-12,5964,75,1,Data Science Dojo
Data Science Dojo Alumni - Jay Yamakawa,2017-09-29,259,1,0,Data Science Dojo
Data Science Dojo Alumni - Jorge A. Suárez,2017-09-27,266,4,0,Data Science Dojo
Data Science Dojo Alumni - Josh Walker,2017-09-26,166,1,0,Data Science Dojo
Data Science Dojo Alumni - Marcus Wyche,2017-09-15,264,6,0,Data Science Dojo
Data Science Dojo Alumni - Serge Grenier,2017-09-13,99,0,0,Data Science Dojo
Data Science Dojo Alumni - Peter Shih,2017-09-07,184,1,0,Data Science Dojo
Building a Machine Learning Model | Intro to Azure ML Part 10,2017-09-06,14043,255,26,Data Science Dojo
Splitting & Categorical Casting | Intro to Azure ML Part 9,2017-08-30,9156,192,7,Data Science Dojo
Data Science Dojo Alumni - Jerry Hartanto,2017-08-28,220,1,2,Data Science Dojo
Cleaning & Summarizing Data | Intro to Azure ML Part 8,2017-08-23,9896,129,6,Data Science Dojo
Data Science Dojo Alumni - Ludson Leon,2017-08-22,145,1,0,Data Science Dojo
Model Optimization | Series Conclusion | Introduction to Text Analytics with R Part 12,2017-08-21,6236,129,45,Data Science Dojo
Intro to Data Visualization with R & ggplot2,2017-08-17,250751,3302,132,Data Science Dojo
Dropping & Selecting Columns | Intro to Azure ML Part 7,2017-08-17,7317,71,1,Data Science Dojo
